City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
274,rio gallegos,AR,-51.6226,-69.2181,48.25,71,0,11.5,clear sky
275,khash,IR,28.2211,61.2158,61.84,26,0,2.17,clear sky
276,san quintin,MX,30.4833,-115.95,65.44,74,0,13.02,clear sky
277,severo-kurilsk,RU,50.6789,156.125,36.64,98,100,14.32,light rain
278,cranbrook,CA,49.4999,-115.7688,57.56,58,100,1.88,overcast clouds
279,mahajanga,MG,-15.7167,46.3167,69.82,78,20,5.75,few clouds
280,lysyanka,UA,49.2523,30.8295,45.01,91,6,7.47,clear sky
281,manzanillo,CU,20.3433,-77.1167,74.52,88,87,10.04,light rain
282,aklavik,CA,68.2191,-135.0107,32.23,99,100,7.49,overcast clouds
283,deputatskiy,RU,69.3,139.9,20.37,94,100,16.93,light snow
284,pisco,PE,-13.7,-76.2167,63.01,88,6,0.0,mist
285,milkovo,RU,54.7167,158.6167,42.39,72,100,4.9,light rain
286,sala consilina,IT,40.3912,15.5989,56.39,84,100,0.58,overcast clouds
287,malanje,AO,-9.5402,16.341,61.95,71,77,3.44,broken clouds
288,rumonge,BI,-3.9736,29.4386,70.14,86,93,5.5,light rain
289,sola,VU,-13.8833,167.55,80.74,71,100,15.79,overcast clouds
290,burayevo,RU,55.8407,55.4083,47.71,86,97,4.45,overcast clouds
291,kamaishi,JP,39.2667,141.8833,57.58,60,100,10.22,overcast clouds
292,vostok,RU,46.4856,135.8833,46.67,61,82,9.53,broken clouds
293,north bend,US,43.4065,-124.2243,70.25,86,100,17.27,overcast clouds
294,yaring,TH,6.8662,101.3689,82.29,81,100,7.4,overcast clouds
295,chokurdakh,RU,70.6333,147.9167,20.1,82,100,11.95,overcast clouds
296,mujiayingzi,CN,42.1167,118.7833,61.83,25,0,12.26,clear sky
297,bang saphan,TH,11.2126,99.5117,82.69,80,100,5.41,overcast clouds
298,vila franca do campo,PT,37.7167,-25.4333,65.19,87,61,30.51,broken clouds
299,namatanai,PG,-3.6667,152.4333,84.87,62,100,2.19,overcast clouds
300,clyde river,CA,70.4692,-68.5914,18.72,86,29,3.31,scattered clouds
301,mabaruma,GY,8.2,-59.7833,75.47,96,97,2.95,overcast clouds
302,hay river,CA,60.8156,-115.7999,52.12,47,80,11.68,broken clouds
303,qaqortoq,GL,60.7167,-46.0333,31.19,75,55,2.04,broken clouds
304,jalu,LY,29.0331,21.5482,70.92,34,0,9.71,clear sky
305,maneadero,MX,31.7167,-116.5667,65.1,76,20,3.0,few clouds
306,laguna,US,38.421,-121.4238,89.58,46,0,14.97,clear sky
307,rio pomba,BR,-21.2747,-43.1792,67.75,92,8,4.0,clear sky
308,goderich,CA,43.7501,-81.7165,54.5,96,100,9.24,overcast clouds
309,lavrentiya,RU,65.5833,-171.0,31.78,76,62,10.69,broken clouds
310,ampanihy,MG,-24.7,44.75,63.03,96,0,6.98,clear sky
311,salinopolis,BR,-0.6136,-47.3561,79.07,88,100,10.6,overcast clouds
312,ivangorod,RU,59.3716,28.2162,42.17,79,76,10.42,broken clouds
313,sandwick,GB,60.0,-1.25,46.22,100,100,14.97,mist
314,keti bandar,PK,24.1447,67.4497,81.86,82,0,19.66,clear sky
315,fairbanks,US,64.8378,-147.7164,52.3,49,75,10.36,broken clouds
316,zonguldak,TR,41.25,31.8333,49.77,72,12,4.07,few clouds
317,sorkjosen,NO,69.8,20.9333,37.4,87,100,17.27,light rain
318,tarazona,ES,41.9,-1.7333,62.42,54,65,5.91,broken clouds
319,pitkyaranta,RU,61.5734,31.4792,44.06,92,100,6.98,light rain
320,dondo,MZ,-19.6094,34.7431,76.51,86,74,7.09,light rain
321,carroll,US,39.5501,-77.0164,68.23,86,50,1.01,scattered clouds
322,olinda,BR,-8.0089,-34.8553,78.53,89,75,2.3,broken clouds
323,shache,CN,38.4167,77.2406,64.71,45,100,6.38,overcast clouds
324,kovdor,RU,67.5662,30.4758,40.44,93,100,1.1,overcast clouds
325,muisne,EC,0.6,-80.0333,78.26,88,100,10.67,light rain
326,voh,NC,-20.9667,164.7,83.32,54,90,6.78,overcast clouds
327,san patricio,US,28.017,-97.5169,85.17,69,0,14.97,clear sky
328,hamilton,US,39.1834,-84.5333,74.84,61,53,1.59,broken clouds
329,goundi,TD,9.3627,17.366,81.57,56,100,4.52,overcast clouds
330,floro,NO,61.5996,5.0328,43.97,100,99,6.91,mist
331,manicore,BR,-5.8092,-61.3003,75.47,98,100,2.48,light rain
332,alofi,NU,-19.0595,-169.9187,76.86,66,23,14.94,light rain
333,victor harbor,AU,-35.5667,138.6167,60.01,67,28,14.09,scattered clouds
334,padang,ID,-0.9492,100.3543,77.05,86,21,2.44,few clouds
335,qandala,SO,11.472,49.8728,86.02,41,23,4.09,few clouds
336,tukrah,LY,32.5341,20.5791,64.83,53,0,3.27,clear sky
337,novyy urengoy,RU,66.0833,76.6333,45.46,81,100,7.11,overcast clouds
338,port macquarie,AU,-31.4333,152.9167,74.89,77,100,8.23,overcast clouds
339,lebork,PL,54.5392,17.7501,45.91,86,96,5.35,overcast clouds
340,sisimiut,GL,66.9395,-53.6735,26.78,66,2,9.46,clear sky
341,pedasi,PA,7.5333,-80.0333,78.06,82,100,8.46,overcast clouds
342,clonakilty,IE,51.6231,-8.8706,55.09,98,100,14.97,overcast clouds
343,asfi,MA,32.2994,-9.2372,63.7,82,5,7.61,clear sky
344,dolinsk,RU,47.35,142.8,55.56,53,9,13.35,clear sky
345,road town,VG,18.4167,-64.6167,80.64,78,20,10.36,few clouds
346,dayal bagh,IN,27.2167,78.0167,95.45,13,91,10.47,overcast clouds
347,karratha,AU,-20.7377,116.8463,78.31,30,9,18.9,clear sky
348,gogrial,SS,8.5332,28.1004,74.03,84,100,10.54,moderate rain
349,kirakira,SB,-10.4544,161.9205,83.53,75,26,2.44,scattered clouds
350,mombetsu,JP,44.3525,143.3525,59.11,40,0,8.57,clear sky
351,bubaque,GW,11.2833,-15.8333,78.89,86,38,12.19,scattered clouds
352,nago,JP,26.5881,127.9761,64.83,90,100,15.01,light rain
353,aykhal,RU,66.0,111.5,36.91,92,100,3.09,overcast clouds
354,weyburn,CA,49.6668,-103.8511,61.27,41,14,10.42,few clouds
355,iracoubo,GF,5.4802,-53.2011,77.77,93,100,8.7,moderate rain
356,sunrise manor,US,36.2111,-115.0731,99.91,4,0,9.22,clear sky
357,shingu,JP,33.7333,135.9833,58.93,85,100,2.98,overcast clouds
358,vanavara,RU,60.34,102.2797,62.11,38,0,2.82,clear sky
