City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
479,coos bay,US,70.32,overcast clouds,43.3665,-124.2179,Best Western Holiday Hotel
480,satellite beach,US,81.05,clear sky,28.1761,-80.5901,Radisson Suite Hotel Oceanfront
481,miandrivazo,MG,71.13,few clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
483,pacifica,US,72.99,mist,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
485,isangel,VU,79.39,scattered clouds,-19.55,169.2667,Tanna Lodge
486,clearwater,US,79.11,clear sky,27.9659,-82.8001,Residence Inn by Marriott Clearwater Downtown
489,russell,US,75.9,scattered clouds,32.3502,-85.1999,Macs
490,buraydah,SA,82.08,clear sky,26.326,43.975,Mövenpick Qassim
492,carutapera,BR,76.62,overcast clouds,-1.195,-46.02,Lidera
495,alibag,IN,84.27,overcast clouds,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
497,grand-santi,GF,75.29,moderate rain,4.25,-54.3833,Hotel La Villa Couacou
499,jieshi,CN,66.0,overcast clouds,22.8134,115.8257,Yuehai Hotel
501,sakakah,SA,73.71,few clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
502,islamkot,PK,79.41,clear sky,24.6997,70.177,Haji Hotel
503,puerto el triunfo,SV,82.54,overcast clouds,13.2833,-88.55,Hotel Jardin
507,alugan,PH,84.07,overcast clouds,12.2188,125.4808,JM Lodge
511,morant bay,JM,79.72,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
512,faanui,PF,80.46,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
516,zhuanghe,CN,66.33,few clouds,39.7008,122.9911,Hanting Express Dalian Zhuanghe Qiansheng
524,konibodom,TJ,68.13,clear sky,40.2843,70.4426,"Hotel ""Orom"""
526,sao goncalo do amarante,BR,78.13,overcast clouds,-3.6072,-38.9683,Sunshine Inn
528,tuy hoa,VN,81.88,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
529,baglung,NP,72.34,clear sky,28.2719,83.5898,Hotel Peace Palace
530,sayla,IN,81.68,clear sky,22.55,71.4667,Bell Guest House
531,itarema,BR,76.69,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
533,bandar-e lengeh,IR,82.26,clear sky,26.5579,54.8807,کافی نت پارس
535,kikwit,CD,71.47,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
539,moindou,NC,79.41,overcast clouds,-21.6924,165.677,Equi-lodge de Moindou
541,lodwar,KE,82.02,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
542,mitsamiouli,KM,79.43,clear sky,-11.3847,43.2844,Foyer ADM
544,santa isabel do rio negro,BR,75.29,light rain,-0.4139,-65.0192,Hotel GSA
547,morondava,MG,74.61,overcast clouds,-20.2833,44.2833,La Case Bambou
548,harper,LR,78.58,light rain,4.375,-7.7169,Screensaver
549,okitipupa,NG,76.42,overcast clouds,6.5047,4.7839,Coastal Hotel & Suites
550,riyadh,SA,69.94,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
551,zaraza,VE,82.31,overcast clouds,9.3503,-65.3245,Hotel Zaraza
552,la asuncion,VE,78.75,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
555,pontes e lacerda,BR,69.37,broken clouds,-15.2261,-59.3353,Hotel Bressan
559,puerto escondido,MX,84.92,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
560,kanker,IN,84.74,broken clouds,20.2719,81.4931,STARiHOTEL Kanker
561,pawa,PH,84.2,overcast clouds,13.1747,123.7328,Hotel St. Ellis
564,miguelopolis,BR,66.0,overcast clouds,-20.1794,-48.0319,Las Vegas Motel
566,dalby,AU,74.98,clear sky,-27.1833,151.2667,Kobbers Motor Inn Dalby
567,raposa,BR,76.87,overcast clouds,-6.5167,-44.1833,Pousada Alvorada
568,hobyo,SO,79.47,clear sky,5.3505,48.5268,Iftin hotel hobyo
571,bhachau,IN,80.35,clear sky,23.2833,70.35,Amrut Bagh Resort
572,takaka,NZ,65.55,overcast clouds,-40.85,172.8,Golden Bay Motels
573,ambunti,PG,84.56,broken clouds,-4.2365,142.8448,AMBUNTI HIDE INN
574,bossangoa,CF,71.51,overcast clouds,6.4926,17.4552,LA PERLE DE BOSTON
576,filiatra,GR,66.69,clear sky,37.15,21.5833,Stomio Villague
579,korla,CN,71.29,overcast clouds,41.7597,86.1469,Gulisitan Hotel
580,coffs harbour,AU,73.13,light intensity shower rain,-30.3,153.1333,Aquajet Motel
584,passo de camaragibe,BR,74.75,scattered clouds,-9.2368,-35.4901,Chácara vovó candinha
586,negombo,LK,80.91,overcast clouds,7.2083,79.8358,Hotel Sunset Beach
588,limbang,MY,84.31,overcast clouds,4.75,115.0,Purnama Hotel
589,zwedru,LR,73.15,overcast clouds,6.0667,-8.1281,Elijah Worjloh
592,touros,BR,77.25,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
598,labuhan,ID,81.7,overcast clouds,-6.8844,112.2051,DoubleFAG
601,barquisimeto,VE,74.37,overcast clouds,10.0739,-69.3228,Hotel Príncipe
604,colares,PT,65.79,broken clouds,38.7992,-9.4469,Arribas Sintra Hotel
605,lady lake,US,72.95,overcast clouds,28.9175,-81.9229,"Holiday Inn Express & Suites the Villages, an IHG Hotel"
607,champerico,GT,84.81,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
611,chabahar,IR,81.9,clear sky,25.2919,60.643,هتل گدروشیا
613,kramat,ID,80.6,few clouds,-8.1311,113.4499,Padepokan HM Arum Sabil
617,casablanca,MA,69.33,few clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
620,pokhara,NP,76.71,few clouds,28.2333,83.9833,OYO 170 Hotel View Point
621,harlingen,US,84.29,clear sky,26.1906,-97.6961,Courtyard by Marriott Harlingen
623,aboso,GH,75.36,overcast clouds,5.3617,-1.9473,New Atuabo
624,bocas del toro,PA,80.56,overcast clouds,9.3333,-82.25,Hotel Bocas del Toro
625,dalbandin,PK,70.74,clear sky,28.8947,64.4101,Sanjrani House
627,waw,SS,74.79,light rain,7.7029,27.9953,Universal Gab Hotel
630,concepcion del oro,MX,76.14,clear sky,24.6333,-101.4167,Hotel Hacienda San Javier
632,canton,CN,68.88,overcast clouds,23.1167,113.25,Shangjiuwan Hotel
633,bac lieu,VN,84.76,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
638,banda aceh,ID,82.67,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
639,mount abu,IN,66.65,clear sky,24.6,72.7,Hotel Oasis
640,asyut,EG,74.71,overcast clouds,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
645,boyolangu,ID,81.19,broken clouds,-8.1181,111.8935,Yos ega cv
646,chateauroux,FR,66.2,clear sky,46.8167,1.7,Hôtel Kyriad Chateauroux
648,saquarema,BR,70.45,clear sky,-22.92,-42.5103,Hotel Fazenda Sol e Lua
649,rockhampton,AU,76.89,overcast clouds,-23.3833,150.5,Mercure Rockhampton
657,santa cruz,BO,71.06,overcast clouds,-17.8,-63.1667,Aviador Hotel Boutique
661,boueni,YT,78.78,clear sky,-12.9025,45.0761,The feet in water
662,yola,NG,83.93,broken clouds,9.2,12.4833,Muna Hotel
666,cayenne,GF,81.09,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
668,jacareacanga,BR,74.32,moderate rain,-6.2222,-57.7528,Casa do Ian😎
669,mwanza,TZ,69.08,overcast clouds,-2.5167,32.9,Gold Crest Hotel
670,tezu,IN,70.83,light rain,27.9167,96.1667,Circuit House
672,manta,EC,76.78,overcast clouds,-0.95,-80.7333,Balandra Hotel
673,loreto,MX,79.99,clear sky,22.2667,-101.9667,José de Jesús Velásquez mora
674,katherine,AU,84.52,clear sky,-14.4667,132.2667,Pine Tree Motel
676,coahuayana,MX,81.46,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
679,north myrtle beach,US,74.37,clear sky,33.816,-78.68,Avista Resort
