City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
402,402,sumbe,AO,-11.2061,13.8437,75.4,92,76,9.19,broken clouds
404,404,tasgaon,IN,17.0333,74.6,75.97,80,100,10.4,overcast clouds
405,405,kieta,PG,-6.2167,155.6333,84.54,69,30,4.56,light rain
406,406,mumford,GH,5.2618,-0.759,80.13,84,12,4.74,few clouds
409,409,matara,LK,5.9485,80.5353,79.23,89,78,13.69,broken clouds
410,410,takoradi,GH,4.8845,-1.7554,79.93,85,43,3.89,light rain
411,411,panguna,PG,-6.3164,155.4848,79.99,68,71,1.74,light rain
412,412,san cristobal,VE,7.7669,-72.225,67.3,94,99,2.68,overcast clouds
413,413,sibolga,ID,1.7427,98.7792,76.95,91,100,3.04,overcast clouds
414,414,belmonte,BR,-15.8631,-38.8828,75.33,84,100,5.19,overcast clouds
416,416,galesong,ID,-5.3166,119.3661,78.82,76,76,3.22,broken clouds
417,417,alvorada,BR,-12.48,-49.1247,76.37,60,100,2.55,overcast clouds
420,420,wattegama,LK,6.7989,81.4808,76.77,81,49,7.72,scattered clouds
424,424,lanja,IN,16.85,73.55,80.51,80,100,3.44,overcast clouds
425,425,qena,EG,26.1615,32.7183,79.41,22,100,7.67,overcast clouds
426,426,houma,US,29.5958,-90.7195,82.0,79,0,6.91,clear sky
427,427,miraflores,MX,19.2167,-98.8083,76.87,31,23,5.68,few clouds
429,429,trincomalee,LK,8.5711,81.2335,81.19,79,99,20.92,overcast clouds
430,430,yuli,NG,9.6989,10.2744,81.99,65,90,3.56,overcast clouds
432,432,yantai,CN,37.5333,121.4,70.2,32,9,11.59,clear sky
434,434,awbari,LY,26.5921,12.7805,70.11,17,0,4.92,clear sky
435,435,kupang,ID,-10.1667,123.5833,83.71,70,8,5.46,clear sky
436,436,piacabucu,BR,-10.4056,-36.4344,76.86,85,100,4.99,light rain
437,437,conde,BR,-7.2597,-34.9075,76.46,100,75,4.61,broken clouds
439,439,tongchuan,CN,35.0806,109.0897,65.32,34,0,7.58,clear sky
440,440,nizwa,OM,22.9333,57.5333,77.43,25,0,4.14,clear sky
441,441,brewster,US,41.3973,-73.6171,68.58,91,70,4.23,light rain
442,442,maragogi,BR,-9.0122,-35.2225,77.67,84,98,3.31,overcast clouds
443,443,kulhudhuffushi,MV,6.6221,73.07,81.84,82,100,21.21,overcast clouds
445,445,salvador,SV,13.8333,-88.9167,77.4,70,98,2.82,overcast clouds
447,447,marrakesh,MA,31.6315,-8.0083,69.87,64,40,5.75,scattered clouds
451,451,samarai,PG,-10.6167,150.6667,82.81,69,1,5.32,clear sky
453,453,bonthe,SL,7.5264,-12.505,81.09,87,100,5.17,overcast clouds
454,454,veraval,IN,20.9,70.3667,82.42,80,0,11.99,clear sky
457,457,billings,US,45.7833,-108.5007,71.37,35,75,8.05,broken clouds
458,458,tsevie,TG,6.4261,1.2133,77.02,90,99,4.83,light rain
459,459,trat,TH,12.5,102.5,81.91,82,100,3.53,overcast clouds
461,461,tsiroanomandidy,MG,-18.7667,46.0333,65.44,66,84,2.53,broken clouds
463,463,ajdabiya,LY,30.7554,20.2263,65.89,42,0,4.59,clear sky
465,465,nioro,GM,13.35,-15.75,78.49,61,8,9.22,clear sky
469,469,flinders,AU,-34.5833,150.8552,73.06,66,0,8.99,clear sky
470,470,luganville,VU,-15.5333,167.1667,81.99,68,100,11.59,overcast clouds
472,472,am timan,TD,11.0297,20.2827,80.19,55,100,3.27,overcast clouds
474,474,cabedelo,BR,-6.9811,-34.8339,77.67,86,98,7.63,overcast clouds
476,476,chardara,KZ,41.2547,67.9692,66.76,60,3,4.38,clear sky
478,478,sapele,NG,5.8941,5.6767,76.69,96,74,1.97,broken clouds
479,479,coos bay,US,43.3665,-124.2179,70.32,85,100,17.27,overcast clouds
480,480,satellite beach,US,28.1761,-80.5901,81.05,82,0,13.8,clear sky
481,481,miandrivazo,MG,-19.5167,45.4667,71.13,65,14,1.3,few clouds
483,483,pacifica,US,37.6138,-122.4869,72.99,87,75,29.93,mist
485,485,isangel,VU,-19.55,169.2667,79.39,70,38,15.23,scattered clouds
486,486,clearwater,US,27.9659,-82.8001,79.11,70,0,11.01,clear sky
489,489,russell,US,32.3502,-85.1999,75.9,78,40,3.44,scattered clouds
490,490,buraydah,SA,26.326,43.975,82.08,13,0,6.76,clear sky
492,492,carutapera,BR,-1.195,-46.02,76.62,95,100,6.02,overcast clouds
493,493,marathon,US,44.9,-89.7668,70.84,32,0,11.5,clear sky
495,495,alibag,IN,18.6411,72.8792,84.27,73,100,6.58,overcast clouds
497,497,grand-santi,GF,4.25,-54.3833,75.29,99,100,2.35,moderate rain
499,499,jieshi,CN,22.8134,115.8257,66.0,89,100,12.44,overcast clouds
501,501,sakakah,SA,29.9697,40.2064,73.71,28,20,9.13,few clouds
502,502,islamkot,PK,24.6997,70.177,79.41,77,0,19.62,clear sky
503,503,puerto el triunfo,SV,13.2833,-88.55,82.54,74,96,5.12,overcast clouds
507,507,alugan,PH,12.2188,125.4808,84.07,73,95,9.86,overcast clouds
511,511,morant bay,JM,17.8815,-76.4093,79.72,86,100,10.6,overcast clouds
512,512,faanui,PF,-16.4833,-151.75,80.46,72,22,7.85,few clouds
516,516,zhuanghe,CN,39.7008,122.9911,66.33,40,23,2.66,few clouds
524,524,konibodom,TJ,40.2843,70.4426,68.13,53,0,3.71,clear sky
526,526,sao goncalo do amarante,BR,-3.6072,-38.9683,78.13,95,100,4.56,overcast clouds
528,528,tuy hoa,VN,13.0833,109.3,81.88,80,100,5.75,overcast clouds
529,529,baglung,NP,28.2719,83.5898,72.34,55,3,3.53,clear sky
530,530,sayla,IN,22.55,71.4667,81.68,65,0,12.84,clear sky
531,531,itarema,BR,-2.9248,-39.9167,76.69,91,82,9.62,broken clouds
533,533,bandar-e lengeh,IR,26.5579,54.8807,82.26,49,0,4.16,clear sky
535,535,kikwit,CD,-5.041,18.8162,71.47,72,89,1.97,overcast clouds
539,539,moindou,NC,-21.6924,165.677,79.41,62,90,6.11,overcast clouds
541,541,lodwar,KE,3.1191,35.5973,82.02,51,66,13.24,broken clouds
542,542,mitsamiouli,KM,-11.3847,43.2844,79.43,69,6,6.08,clear sky
544,544,santa isabel do rio negro,BR,-0.4139,-65.0192,75.29,94,98,2.26,light rain
545,545,barentu,ER,15.1139,37.5928,79.86,29,0,6.13,clear sky
547,547,morondava,MG,-20.2833,44.2833,74.61,53,89,9.24,overcast clouds
548,548,harper,LR,4.375,-7.7169,78.58,88,100,7.18,light rain
549,549,okitipupa,NG,6.5047,4.7839,76.42,97,99,1.3,overcast clouds
550,550,riyadh,SA,24.6877,46.7219,69.94,9,0,6.55,clear sky
551,551,zaraza,VE,9.3503,-65.3245,82.31,66,97,8.72,overcast clouds
552,552,la asuncion,VE,11.0333,-63.8628,78.75,87,34,18.16,scattered clouds
555,555,pontes e lacerda,BR,-15.2261,-59.3353,69.37,96,57,8.1,broken clouds
559,559,puerto escondido,MX,15.85,-97.0667,84.92,72,50,7.47,scattered clouds
560,560,kanker,IN,20.2719,81.4931,84.74,45,84,2.8,broken clouds
561,561,pawa,PH,13.1747,123.7328,84.2,68,100,3.65,overcast clouds
564,564,miguelopolis,BR,-20.1794,-48.0319,66.0,92,100,1.99,overcast clouds
566,566,dalby,AU,-27.1833,151.2667,74.98,82,1,1.01,clear sky
567,567,raposa,BR,-6.5167,-44.1833,76.87,72,100,2.28,overcast clouds
568,568,hobyo,SO,5.3505,48.5268,79.47,81,3,24.4,clear sky
571,571,bhachau,IN,23.2833,70.35,80.35,77,0,13.69,clear sky
572,572,takaka,NZ,-40.85,172.8,65.55,92,92,1.41,overcast clouds
573,573,ambunti,PG,-4.2365,142.8448,84.56,70,82,2.3,broken clouds
574,574,bossangoa,CF,6.4926,17.4552,71.51,82,93,0.81,overcast clouds
576,576,filiatra,GR,37.15,21.5833,66.69,77,0,3.58,clear sky
579,579,korla,CN,41.7597,86.1469,71.29,17,100,8.08,overcast clouds
580,580,coffs harbour,AU,-30.3,153.1333,73.13,88,75,5.75,light intensity shower rain
584,584,passo de camaragibe,BR,-9.2368,-35.4901,74.75,89,37,0.56,scattered clouds
586,586,negombo,LK,7.2083,79.8358,80.91,83,85,18.01,overcast clouds
588,588,limbang,MY,4.75,115.0,84.31,88,100,1.48,overcast clouds
589,589,zwedru,LR,6.0667,-8.1281,73.15,99,100,2.3,overcast clouds
592,592,touros,BR,-5.1989,-35.4608,77.25,89,79,8.1,broken clouds
596,596,nioki,CD,-2.7167,17.6833,73.9,83,93,0.45,overcast clouds
598,598,labuhan,ID,-6.8844,112.2051,81.7,80,85,5.66,overcast clouds
601,601,barquisimeto,VE,10.0739,-69.3228,74.37,71,100,3.22,overcast clouds
603,603,sembakung,ID,3.8167,117.25,78.64,91,100,2.57,overcast clouds
604,604,colares,PT,38.7992,-9.4469,65.79,77,65,15.99,broken clouds
605,605,lady lake,US,28.9175,-81.9229,72.95,89,100,11.5,overcast clouds
607,607,champerico,GT,14.3,-91.9167,84.81,70,100,8.1,overcast clouds
611,611,chabahar,IR,25.2919,60.643,81.9,70,0,4.27,clear sky
613,613,kramat,ID,-8.1311,113.4499,80.6,77,11,1.61,few clouds
617,617,casablanca,MA,33.5928,-7.6192,69.33,73,20,8.99,few clouds
620,620,pokhara,NP,28.2333,83.9833,76.71,55,22,0.58,few clouds
621,621,harlingen,US,26.1906,-97.6961,84.29,48,0,17.27,clear sky
623,623,aboso,GH,5.3617,-1.9473,75.36,96,100,0.63,overcast clouds
624,624,bocas del toro,PA,9.3333,-82.25,80.56,83,100,5.88,overcast clouds
625,625,dalbandin,PK,28.8947,64.4101,70.74,23,0,6.49,clear sky
627,627,waw,SS,7.7029,27.9953,74.79,86,99,4.59,light rain
630,630,concepcion del oro,MX,24.6333,-101.4167,76.14,13,1,14.74,clear sky
632,632,canton,CN,23.1167,113.25,68.88,80,100,9.24,overcast clouds
633,633,bac lieu,VN,9.285,105.7244,84.76,74,100,9.17,overcast clouds
638,638,banda aceh,ID,5.5577,95.3222,82.67,77,99,11.86,overcast clouds
639,639,mount abu,IN,24.6,72.7,66.65,72,0,6.71,clear sky
640,640,asyut,EG,27.181,31.1837,74.71,36,100,17.11,overcast clouds
645,645,boyolangu,ID,-8.1181,111.8935,81.19,77,71,2.71,broken clouds
646,646,chateauroux,FR,46.8167,1.7,66.2,72,0,13.8,clear sky
648,648,saquarema,BR,-22.92,-42.5103,70.45,82,3,3.96,clear sky
649,649,rockhampton,AU,-23.3833,150.5,76.89,73,100,6.91,overcast clouds
657,657,santa cruz,BO,-17.8,-63.1667,71.06,64,100,16.11,overcast clouds
661,661,boueni,YT,-12.9025,45.0761,78.78,67,4,14.58,clear sky
662,662,yola,NG,9.2,12.4833,83.93,49,70,1.83,broken clouds
665,665,barra patuca,HN,15.8,-84.2833,79.34,81,9,8.77,clear sky
666,666,cayenne,GF,4.9333,-52.3333,81.09,1,100,5.01,moderate rain
668,668,jacareacanga,BR,-6.2222,-57.7528,74.32,99,100,2.01,moderate rain
669,669,mwanza,TZ,-2.5167,32.9,69.08,77,98,5.35,overcast clouds
670,670,tezu,IN,27.9167,96.1667,70.83,98,100,5.17,light rain
672,672,manta,EC,-0.95,-80.7333,76.78,83,100,8.05,overcast clouds
673,673,loreto,MX,22.2667,-101.9667,79.99,12,2,11.21,clear sky
674,674,katherine,AU,-14.4667,132.2667,84.52,39,0,5.75,clear sky
676,676,coahuayana,MX,18.7333,-103.6833,81.46,51,100,5.06,overcast clouds
679,679,north myrtle beach,US,33.816,-78.68,74.37,89,0,12.66,clear sky
680,680,porto seguro,BR,-16.4497,-39.0647,72.12,94,100,2.3,overcast clouds
681,681,tura,IN,25.5198,90.2201,75.63,97,100,6.82,moderate rain
682,682,fossombrone,IT,43.6908,12.8127,67.69,72,19,6.33,few clouds
685,685,gat,IL,31.61,34.7642,65.39,86,38,0.81,scattered clouds
686,686,yemelyanovo,RU,56.1681,92.6767,65.21,59,0,17.9,clear sky
688,688,san felipe,VE,10.3399,-68.7425,72.99,96,100,3.44,overcast clouds
690,690,portland,US,45.5234,-122.6762,69.78,65,40,16.11,scattered clouds
695,695,rio chiquito,HN,15.6333,-88.25,80.96,74,9,6.76,clear sky
696,696,blytheville,US,35.9273,-89.919,71.53,80,0,5.75,clear sky
698,698,dwarka,IN,22.2394,68.9678,82.62,76,0,18.25,clear sky
702,702,sao jose do egito,BR,-7.4789,-37.2744,69.33,95,99,7.29,overcast clouds
703,703,tautira,PF,-17.7333,-149.15,81.25,72,100,14.41,light rain
